>Transposon251	seq1:[+]29700-29860 (160)
hAT,TIR,DNATransposon 2/1/2  0.0 0.7 0.7 0.5 0.1 0.0 0.3 0.6 0.9 0.7 0.1 0.3 0.1 0.2 0.3 0.1 0.0 0.1 
>Transposon252	seq1:[+]34769-34942 (173)
hAT,TIR,DNATransposon 2/1/2  0.2 0.9 0.7 0.5 0.0 0.3 0.3 0.8 0.9 0.9 0.0 0.5 0.1 0.1 0.2 0.0 0.2 0.3 
>Transposon253	seq1:[+]86291-87619 (1328)
Zator,TIR,DNATransposon 2/1/5  0.0 0.8 0.5 0.4 0.1 0.3 0.5 0.4 0.9 0.8 0.0 0.1 0.1 0.0 0.4 0.0 0.0 0.1 
>Transposon254	seq1:[+]88210-89547 (1337)
Zator,TIR,DNATransposon 2/1/5  0.0 0.7 0.4 0.5 0.0 0.2 0.7 0.6 0.8 0.9 0.0 0.0 0.0 0.1 0.8 0.0 0.0 0.1 
>Transposon255	seq1:[+]178154-182145 (3991)
Zator,TIR,DNATransposon 2/1/5  0.1 0.9 0.6 0.3 0.4 0.6 0.7 0.4 0.6 0.5 0.2 0.1 0.0 0.3 0.5 0.1 0.0 0.2 
>Transposon256	seq1:[+]199518-199683 (165)
hAT,TIR,DNATransposon 2/1/2  0.2 0.6 0.5 0.6 0.1 0.1 0.6 0.8 0.9 0.8 0.0 0.3 0.0 0.1 0.3 0.1 0.1 0.2 
>Transposon257	seq1:[+]200395-200562 (167)
Sola,TIR,DNATransposon 2/1/4  0.0 0.8 0.5 0.7 0.1 0.2 0.4 0.6 0.7 0.6 0.1 0.2 0.1 0.3 0.3 0.0 0.0 0.2 
>Transposon258	seq1:[+]214649-214819 (170)
CMC,TIR,DNATransposon 2/1/3  0.1 0.7 0.4 0.6 0.2 0.1 0.2 0.8 0.9 0.9 0.0 0.2 0.3 0.1 0.1 0.0 0.0 0.1 
>Transposon259	seq1:[+]231792-232123 (331)
Zator,TIR,DNATransposon 2/1/5  0.1 0.9 0.4 0.5 0.1 0.1 0.7 0.3 0.8 0.9 0.0 0.0 0.2 0.0 0.7 0.1 0.1 0.0 
>Transposon260	seq1:[+]300782-300953 (171)
Zator,TIR,DNATransposon 2/1/5  0.2 0.8 0.5 0.4 0.1 0.1 0.6 0.1 1.0 0.8 0.0 0.3 0.1 0.2 0.5 0.2 0.1 0.1 
>Transposon261	seq1:[+]301954-302120 (166)
hAT,TIR,DNATransposon 2/1/2  0.1 0.8 0.3 0.7 0.1 0.2 0.3 0.5 0.9 0.8 0.0 0.3 0.1 0.1 0.2 0.1 0.0 0.2 
>Transposon262	seq1:[+]357384-357559 (175)
