>Transposon1	seq1:[+]103436-112025 (8589)
CMC,TIR,DNATransposon 2/1/3  0.2 1.0 0.5 0.5 0.0 0.0 0.6 0.0 0.7 0.7 0.0 0.0 0.1 0.0 0.0 0.0 0.3 0.0 
>Transposon2	seq1:[+]403095-403341 (246)
CMC,TIR,DNATransposon 2/1/3  0.5 0.5 0.3 0.6 0.0 0.5 0.3 1.0 0.8 0.9 0.1 0.3 0.4 0.0 0.4 0.2 0.1 0.1 
>Transposon3	seq1:[+]406008-406254 (246)
Copia,LTR,Retrotransposon 1/1/1  0.6 0.6 0.4 0.3 0.1 0.5 0.15 1.0 0.3 0.8 0.2 0.3 0.4 0.2 0.5 0.2 0.0 0.1 
>Transposon10 	seq1:[+]35536-39898 (4362)
CMC,TIR,DNATransposon 2/1/3  0.4 1.0 0.1 0.6 0.0 0.0 0.8 0.2 0.5 0.8 0.0 0.0 0.2 0.2 0.2 0.0 0.0 0.0 
>Transposon11 	seq1:[+]88035-89365 (1330)
Zator,TIR,DNATransposon 2/1/5  0.0 0.9 0.5 0.5 0.0 0.3 0.6 0.5 0.8 0.8 0.0 0.1 0.0 0.2 0.7 0.0 0.0 0.2 
>Transposon12 	seq1:[+]110238-123546 (13308)
Gypsy,LTR,Retrotransposon 1/1/2  0.5 0.5 0.2 0.4 0.1 0.2 1.0 0.0 0.5 0.3 0.1 0.2 0.2 0.2 0.0 0.1 0.1 0.0 
>Transposon13 	seq1:[+]130465-134374 (3909)
CMC,TIR,DNATransposon 2/1/3  0.0 1.0 0.0 0.6 0.0 0.0 0.4 0.0 0.4 0.6 0.0 0.2 0.5 0.0 0.1 0.0 0.3 0.0 
>Transposon14 	seq1:[+]139405-141554 (2149)
Gypsy,LTR,Retrotransposon 1/1/2  0.5 1.0 0.1 0.6 0.0 0.0 0.4 0.0 0.4 0.5 0.1 0.1 0.2 0.0 0.1 0.0 0.3 0.0 
>Transposon15 	seq1:[+]142967-153019 (10052)
Copia,LTR,Retrotransposon 1/1/1  1.0 1.0 0.4 0.3 0.0 0.0 0.9 0.0 0.4 0.3 0.1 0.4 0.0 0.1 0.1 0.1 0.3 0.1 
>Transposon16 	seq1:[+]177903-181898 (3995)
Zator,TIR,DNATransposon 2/1/5  0.1 0.9 0.6 0.3 0.4 0.6 0.7 0.4 0.6 0.5 0.2 0.1 0.0 0.3 0.5 0.1 0.0 0.2 
>Transposon17 	seq1:[+]268295-276908 (8613)
CMC,TIR,DNATransposon 2/1/3  0.3 1.0 0.0 0.3 0.0 0.0 0.6 0.0 0.4 0.6 0.0 0.0 0.4 0.0 0.0 0.1 0.4 0.0 
>Transposon18 	seq1:[+]403061-406260 (3199)
CMC,TIR,DNATransposon 2/1/3  0.3 0.9 0.0 0.3 0.0 0.0 0.3 0.1 0.8 0.7 0.0 0.1 0.3 0.0 0.0 0.1 0.2 0.0 
>Transposon19 	seq1:[+]451464-453045 (1581)
Tc1-Mariner,TIR,DNATransposon 2/1/1  0.2 1.0 0.1 0.4 0.0 0.0 0.2 0.1 0.3 0.7 0.1 0.1 0.1 0.0 0.0 0.0 0.1 0.0 
>Transposon20 	seq1:[+]689022-690514 (1492)
hAT,TIR,DNATransposon 2/1/2  0.5 1.0 0.0 0.4 0.0 0.0 0.2 0.1 0.7 0.9 0.0 0.4 0.0 0.0 0.3 0.0 0.1 0.0 
>Transposon21 	seq1:[+]745353-751257 (5904)
Gypsy,LTR,Retrotransposon 1/1/2  0.5 1.0 0.1 0.3 0.0 0.0 0.2 0.0 0.5 0.6 0.0 0.1 0.5 0.1 0.0 0.0 0.6 0.0 
>Transposon40 	seq1:[+]18218-18293 (75)
Zator,TIR,DNATransposon 2/1/5  0.1 0.7 0.3 0.8 0.0 0.3 0.5 0.8 0.9 0.9 0.1 0.2 0.2 0.2 0.4 0.1 0.1 0.1 
>Transposon41 	seq1:[+]31392-31480 (88)
CMC,TIR,DNATransposon 2/1/3  0.2 0.5 0.4 0.6 0.0 0.1 0.7 0.3 1.0 0.8 0.2 0.1 0.6 0.3 0.6 0.1 0.0 0.5 
>Transposon42 	seq1:[+]40393-40837 (444)
